review,rating
Terimakasih Banyak Sudah Membantu 🙏,5
"Jelek dan PARAH. saat program awal muncul saya daftar dengan harapan dapet Pertalite, Namun di Tolak Karna Data PALSU ( saya bingung Unit kredit 4 tahun di OLX di bilang Palsu.) minta di perbaharui. dan saya coba daftar lagi yang ke 2! juga di TOLAK dengan alasan wana Plat nomer tidak SESUAI foto dan Stnk ( DATA BASE kurang Telat up date) dan coba pendaftaran ke 3 harus ada BPKB. unit ktedit bagaimana ada BPKB. jadi saya nunggu lunas baru bs daftar stellh LUNAS. SENGSARAKAN Rakyat.",1
"maaf rating 1 dulu ya, saya sudah coba daftar tapi ""dalam gangguan"" melulu jadinya saya uninstal dan kembali ke jalan SPBU yang benar 🙏 untuk admin semoga sehat-sehat ya dan untuk para pembaca mohon bersabar jika aplikasi sedang bermasalah, Terimakasih salam anti oplos 👋🏻",1
beli kendaraan bekas disuruh buat surat keluhan dan harus nunggu 14 hari luar binaza Pertamina rakyat makin dipersulit,1
apk kocak solusi kok suruh telpon 135 bayar bayar bayar!!!,1
sangat membantu,5
sangat jelek dan merepotkan..tolong dong perbaiki..login saja tidak bisa,1
"ribet bertransaksi harus pakai barcode ketika tidak jadi atau batal karena hal teknis , konsumen harus nunggu 2 jam untuk bisa bertransaksi pertalite subsidi kan membagongkan",1
sangat berguna,5
"ini gimana ya,saya udah daftar bikin barcode,, barcode hilang, saya mau buka barcode lagi salah Mulu nik nya knapa ya",2
"aplikasi menyusahkan,semakin kesini semaksin parah,lemotttt merugikan",1
mantap 👍👍👍,5
"padahal aku fotoin stnk langsung, tapi ditolak karna selalu dibilang apknya dari galeri, kan gk jelas",1
sangat mudah,5
aduh parah bumn,1
"apa kegunaan aplikasi ini? gak ada manfaatnya bikin tambah antri dan lama yg iya,",1
mantull,5
🥰😍👍🏻👍🏻😃😃🚐🛵Aimminbkuion,5
mantaappp,5
Ok mantap,5
"registrasi dipersulit, kecewa banget.. udah coba berkali-kali ttp aja ga bisa!..berasa jadi orang asing disini",1
"ini aplikasi nya ngebug apa gimana??? kenapa saya login di chrome bisa, log in di my Pertamina ga bisa.. untuk subsidi tepat nya",1
ikut,5
mantap,5
"aplikasi sampah, ngebug terus masuk kode otp selalu salah, perbaiki dlu itu aplikasinya baru loncing. ngurusin bawahan korupsi padahal atasnya lebih bobrok. aplikasi gak guna nyusahin warga bawah.",1
"pening mikirinnya, ntah anak magang mana yang bikin aplikasi sama web untuk perusahaan sekelas pertamina ini. daftar di web pas ngirim foto tidak bisa, webnya seperti ngefreeze. daftar lewat aplikasi malah nik saya katanya ndak sesuai. seandainya ada pom swasta vivo atau mobil disekitar rumah ngakperlu lah saya bingung mikirin daftar barcode ini",1
"Giliran mau konfirmasi data, malah kesalahan pada sistem silahkan kembali nanti. parah",1
mantap 👍,5
"KEBIASAAN PEMERINTAH KALO BIKIN APLIKASI GA MATENG, RIBETTTT TOLONG LAH DEVELOPMENT APLIKASINYA LEBIH MATENG, BIKIN KEBIJAKAN TAPI WADAH NYA KOK KAYA GINI, RIBET BANGET GUNANYA ADA APLIKASI APAAA!! KALO DAFTARNYA TETEP DI WEBSITE",1
eror mulu,1
"Setiap kali login selalu gagal, padahal sudah seauai dengan kode yang diberikan. Mohon segera diperbaiki",3
mudah dan cepat,5
"kenapa ya Bagian STNK tidak bisa pilih foto sedangkan plat mobil bisa?, tidak konsisten bgt sih fiturny.",1
"Bug dalam aplikasinya masih lumayan banyak ya, kenapa layar hp sy tiba tiba ngefreeze padahal cuma mau upload foto no plat mobil",2
apk taii... buat daftar aja susah... mau daftar tidak bisa terus...,1
"Kenapa saya gak dapet kode barcode ya, setiap login malah sandi salah, padahal udah bene, bikin ribet aja ni apk, mempersulit rakyat",1
"aplikasi dongo!!!! udah daftar subsidi. pas mau login lagi malah kagak bisa. Pas cek di lupa sandi, malah nik tidak terdaftar. Uang rakyat jangan di korup woyyyyyyyy!!!!!",1
"jelek amat ni apk mau daftar doang susahnya minta ampun kesalahan server mulu,gimana mau ngisi bbm kalo gini",1
bagus sekali,5
